cid,city.100,city.10,city.105,city.103,city.104,city.102,city.101,city.2119,city.114,city.2341,city.116,city.123,city.128,city.2194,city.138,city.134,city.136,city.143,city.145,city.142,city.149,city.3205,city.1532,city.958,city.959,city.96,city.960,city.1632,city.665,city.673,city.699,city.326,city.323,city.324,city.327,city.328,city.36,city.40,city.4615,city.45,city.46,city.50,city.57,city.698,city.64,city.65,city.67,city.70,city.798,city.73,city.74,city.75,city.76,city.83,city.89,city.90,city.998,city.97,city.98,city.99,gender,enrolled_university,education_level,academic_discipline,experience,company_size,company_type,last_new_job,city_development_index,relevant_experience,training_hours,target
1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Male,No enrollment,Undergraduate,STEM,>20,500-999,Other,1,0.942115768,Has relevant experience,36,yes
3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Other,Full time,Undergraduate,STEM,5,50-99,Pvt Ltd,never,0.351297405,No relevant experience,83,yes
7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Male,No enrollment,High School,No major,5,50-99,Funded startup,1,0.942115768,Has relevant experience,24,yes
12,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Male,No enrollment,Undergraduate,STEM,5,5000-9999,Pvt Ltd,1,0.942115768,Has relevant experience,108,yes
15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Male,Full time,High School,STEM,5,<10,Early stage startup,never,0.351297405,No relevant experience,26,yes
17,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Other,No enrollment,Undergraduate,STEM,1,50-99,Pvt Ltd,never,0.942115768,Has relevant experience,106,yes
18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Male,No enrollment,Undergraduate,STEM,2,5000-9999,Pvt Ltd,2,0.351297405,Has relevant experience,7,yes
29,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Male,No enrollment,High School,STEM,11,<10,Pvt Ltd,1,0.876247505,Has relevant experience,8,yes
30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Male,No enrollment,Undergraduate,STEM,18,50-99,Funded startup,2,0.351297405,Has relevant experience,68,yes
45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Male,Part time,Masters,STEM,9,5000-9999,Pvt Ltd,3,0.351297405,Has relevant experience,7,yes
